iter	TotalF1	MultiClass
614	0.9008936919	-0.2872394008
615	0.9009437078	-0.2870805832
616	0.9009386848	-0.2869473336
617	0.9009824706	-0.28681456
618	0.9010418946	-0.286678077
619	0.9010867612	-0.2865774036
620	0.9011250981	-0.2864969445
621	0.901138873	-0.2863897605
622	0.9011723567	-0.2863259879
623	0.9012360711	-0.286194293
624	0.9012624087	-0.2860599225
625	0.9013456084	-0.2859871415
626	0.9013871391	-0.285890798
627	0.901409526	-0.2857989358
628	0.9014426451	-0.285708808
629	0.9014675879	-0.2855927182
630	0.901467743	-0.2855059541
631	0.9015068081	-0.2854082806
632	0.9015215736	-0.2852919567
633	0.9016121265	-0.285094914
634	0.9016758699	-0.2849336677
635	0.9016900018	-0.2848390924
636	0.9016639789	-0.2847915802
637	0.9017297477	-0.2845835009
638	0.9017596413	-0.2844596923
639	0.9017897188	-0.284308771
640	0.9018448047	-0.2841860492
641	0.9018865592	-0.284112032
642	0.9019236129	-0.2839733736
643	0.901946219	-0.2838264964
644	0.9020394805	-0.2837125842
645	0.9020682736	-0.2835806293
646	0.9020828306	-0.2834516815
647	0.9021154492	-0.2833730864
648	0.9021487823	-0.2832468134
649	0.9021633748	-0.2831504871
650	0.9022021153	-0.2830640334
651	0.9022407978	-0.2829852433
652	0.9023025571	-0.282831139
653	0.902313619	-0.2827328872
654	0.9023100363	-0.282639431
655	0.9023047294	-0.2825811776
656	0.9023727433	-0.2824864391
657	0.9023723928	-0.2823781074
658	0.902379656	-0.282283417
659	0.902435985	-0.2821316042
660	0.902448162	-0.2820293439
661	0.9025384885	-0.2818471563
662	0.9026135439	-0.2816752459
663	0.9026459359	-0.2816477193
664	0.9026597056	-0.2815169918
665	0.9027341574	-0.2812497411
666	0.9027535991	-0.2811405974
667	0.9027869485	-0.281068984
668	0.902799916	-0.2809899924
669	0.9028156308	-0.2809151214
670	0.9028671291	-0.2807980914
671	0.9029006094	-0.2806735021
672	0.9029175645	-0.2805801003
673	0.9029463767	-0.2804901551
674	0.9029902779	-0.2803694512
675	0.9030166392	-0.280271393
676	0.9029933882	-0.2801431069
677	0.9030683801	-0.2801078941
678	0.9030747801	-0.2800552086
679	0.9031020727	-0.2799716459
680	0.9031566429	-0.2798145668
681	0.9031758896	-0.2797377264
682	0.9032089913	-0.2796747773
683	0.9032174785	-0.2796723848
684	0.9032418442	-0.2795714941
685	0.9033112224	-0.2794842459
686	0.9033368316	-0.2794317199
687	0.9033500769	-0.2793785352
688	0.903372917	-0.2792948436
689	0.9034064798	-0.2791985633
690	0.9033840645	-0.2791204673
691	0.9034713505	-0.2789540982
692	0.9035203164	-0.2789066794
693	0.9035335976	-0.2787757515
694	0.9035530622	-0.27866538
695	0.9036052222	-0.2785423731
696	0.9035964641	-0.2784337934
697	0.903594315	-0.2784033145
698	0.9036404011	-0.278254347
699	0.9037043393	-0.2781570848
700	0.9037466925	-0.2781096396
701	0.9037659591	-0.2779877745
702	0.9038017036	-0.27781645
703	0.903794305	-0.2777589263
704	0.9038403273	-0.2776016875
705	0.903847345	-0.277549629
706	0.9039112438	-0.277375165
707	0.9039091819	-0.2773398044
708	0.9039814914	-0.2772117019
709	0.9040141184	-0.2770735269
710	0.9040567759	-0.2770053736
711	0.904100115	-0.2769088675
712	0.9041259259	-0.2767674455
713	0.9041648885	-0.2766408912
714	0.9042469858	-0.2765446712
